Tarih,Saat,PTF (TL/MWh),PTF (USD/MWh),PTF (EUR/MWh),Yük Tahmin Planı (MWh),Toplam(MWh),Doğalgaz,Rüzgar,Linyit,Taş Kömür,İthal Kömür,Fueloil,Jeotermal,Barajlı,Nafta,Biyokütle,Akarsu,Gunes,Diğer
2025-01-05,14:00,"2.488,89","70,56","68,61","37.633,00","33.043,37","10.850,27","1.659,00","3.606,30","132,00","9.259,00","20,40","1.102,35","3.708,45","0,30","966,19","1.008,32","587,29","143,50"
2025-01-05,15:00,"2.207,99","62,60","60,87","37.775,00","33.899,47","11.182,55","1.705,28","3.619,20","132,00","9.257,00","18,90","1.093,59","4.123,65","0,30","963,66","1.177,42","482,92","143,00"
2025-01-05,16:00,"2.488,32","70,55","68,59","38.110,00","35.624,32","12.639,63","1.751,71","3.568,00","132,00","9.291,00","17,00","1.090,62","4.542,25","0,30","962,96","1.304,10","181,15","143,60"
2025-01-05,17:00,"2.989,99","84,77","82,42","39.307,00","37.498,35","12.917,58","1.765,39","3.596,60","132,00","9.289,00","16,00","1.097,42","6.032,75","0,90","953,11","1.538,24","16,76","142,60"
2025-01-05,18:00,"2.988,00","84,72","82,37","39.792,00","39.383,29","13.196,55","1.779,28","3.608,50","132,00","9.318,90","16,00","1.103,21","7.452,35","0,00","951,79","1.681,88","0,23","142,60"
2025-01-05,19:00,"2.950,01","83,64","81,32","39.264,00","38.788,30","13.131,10","1.724,55","3.683,50","132,00","9.319,00","16,00","1.110,74","7.026,35","0,00","951,36","1.550,86","0,24","142,60"
2025-01-05,20:00,"2.777,78","78,76","76,57","38.600,00","38.223,84","13.106,54","1.717,08","3.666,80","132,00","9.317,00","16,00","1.120,65","6.637,55","0,00","947,11","1.420,18","0,33","142,60"
2025-01-05,21:00,"2.799,99","79,39","77,19","37.651,00","37.213,49","12.871,59","1.702,96","3.637,50","132,00","9.312,00","16,00","1.126,34","6.057,95","0,00","936,11","1.278,04","0,40","142,60"
2025-01-05,22:00,"2.449,98","69,46","67,54","36.399,00","36.357,88","11.021,43","1.632,33","3.664,50","132,00","9.245,00","16,00","1.129,76","7.338,65","0,00","939,28","1.097,06","0,37","141,50"
2025-01-05,23:00,"2.474,01","70,14","68,20","34.652,00","34.945,24","10.668,12","1.553,82","3.690,00","132,00","9.245,00","16,00","1.134,24","6.320,65","0,00","935,79","1.107,84","0,28","141,50"
2025-01-06,00:00,"2.726,67","77,31","75,16","34.426,00","32.967,99","10.450,90","1.465,66","3.717,40","132,00","9.247,00","16,00","1.132,33","4.581,95","0,00","950,95","1.109,20","0,00","164,60"
2025-01-06,01:00,"2.420,99","68,64","66,74","31.908,00","30.936,87","10.052,72","1.448,89","3.704,30","132,00","9.246,90","16,00","1.134,95","3.111,95","0,00","955,39","969,17","0,00","164,60"
2025-01-06,02:00,"2.157,00","61,16","59,46","30.275,00","29.552,29","9.562,13","1.437,75","3.636,00","132,00","9.247,00","16,00","1.136,79","2.391,95","0,00","958,74","870,43","0,00","163,50"
2025-01-06,03:00,"2.071,01","58,72","57,09","29.612,00","28.401,38","8.853,54","1.494,57","3.484,00","132,00","9.247,00","16,00","1.140,32","2.103,05","0,00","956,52","810,88","0,00","163,50"
2025-01-06,04:00,"2.071,01","58,72","57,09","29.624,00","28.215,46","8.743,61","1.517,49","3.391,00","132,00","9.247,00","16,00","1.142,80","2.128,05","0,00","944,79","789,22","0,00","163,50"
2025-01-06,05:00,"2.071,00","58,72","57,09","30.136,00","28.471,06","8.819,45","1.601,52","3.511,00","132,00","9.247,00","16,00","1.144,18","2.099,55","0,00","944,18","792,58","0,10","163,50"
2025-01-06,06:00,"2.478,97","70,28","68,34","31.712,00","30.045,51","10.382,66","1.601,13","3.507,00","132,00","9.247,00","16,00","1.146,52","2.091,35","0,00","943,00","814,95","0,40","163,50"
2025-01-06,07:00,"2.771,78","78,59","76,41","35.522,00","33.584,60","12.892,85","1.609,02","3.574,70","132,00","9.232,00","16,00","1.145,94","2.806,85","0,00","948,71","1.060,48","2,55","163,50"
2025-01-06,08:00,"3.000,00","85,06","82,70","41.874,00","37.471,65","14.402,48","1.675,72","3.655,90","132,00","9.233,00","16,00","1.146,11","4.411,25","0,00","965,71","1.509,24","129,64","194,60"
2025-01-06,09:00,"3.000,00","85,06","82,70","45.543,00","39.452,02","14.821,71","1.808,52","3.755,69","132,00","9.248,00","19,00","1.141,27","5.248,25","0,00","979,39","1.529,91","543,48","224,80"
